vin_1_10,county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,legislative_district,dol_vehicle_id,geocoded_column,electric_utility,_2020_census_tract
1G1FZ6EV3V,Benton,West Richland,WA,99353,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,8,293715418,"{'type': 'Point', 'coordinates': [-119.33836, 46.29696]}",BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,53005010703
7PD2EAAB4V,Snohomish,Mukilteo,WA,98275,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,21,293919538,"{'type': 'Point', 'coordinates': [-122.29196, 47.89908]}",PUGET SOUND ENERGY INC,53061041301
1G1FY6EV1V,Snohomish,Bothell,WA,98021,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,1,294955608,"{'type': 'Point', 'coordinates': [-122.17946, 47.80259]}",PUGET SOUND ENERGY INC,53061051913
7PD2EAAB2V,Chelan,Wenatchee,WA,98801,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,12,294002985,"{'type': 'Point', 'coordinates': [-120.30521, 47.41493]}",PUD NO 1 OF CHELAN COUNTY,53007960801
1G1FY6EV0V,Pierce,Lakewood,WA,98499,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,29,292531417,"{'type': 'Point', 'coordinates': [-122.51495, 47.16196]}",BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||LAKEVIEW LIGHT & POWER|PENINSULA LIGHT COMPANY,53053071808
1G1FY6EV3V,Island,Oak Harbor,WA,98277,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,10,290908033,"{'type': 'Point', 'coordinates': [-122.64682, 48.29077]}",PUGET SOUND ENERGY INC,53029970300
1G1FY6EV6V,Whatcom,Bellingham,WA,98229,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,40,294647720,"{'type': 'Point', 'coordinates': [-122.45692, 48.7471]}",PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000809
1G1FY6EV8V,Whatcom,Bellingham,WA,98225,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,42,293726849,"{'type': 'Point', 'coordinates': [-122.47091, 48.75256]}",PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000402
1G1FZ6EV6V,Snohomish,Arlington,WA,98223,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,39,291348270,"{'type': 'Point', 'coordinates': [-122.1264, 48.19471]}",BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053510
1G1FY6EV6V,Whatcom,Point Roberts,WA,98281,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,42,296924834,"{'type': 'Point', 'coordinates': [-123.05688, 48.98867]}",PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073011000
1G1FY6EV8V,King,Fall City,WA,98024,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,5,293862642,"{'type': 'Point', 'coordinates': [-121.89086, 47.56812]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032605
7PD2EAAB7V,King,Tukwila,WA,98168,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,11,294063773,"{'type': 'Point', 'coordinates': [-122.29411, 47.48924]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026300
7PD2EAAB4V,Benton,Kennewick,WA,99338,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,16,295663322,"{'type': 'Point', 'coordinates': [-119.1973, 46.19115]}",BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,53005010814
7PD2EAAB6V,Snohomish,Monroe,WA,98272,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,39,293785537,"{'type': 'Point', 'coordinates': [-121.98087, 47.8526]}",PUGET SOUND ENERGY INC,53061053801
1G1FY6EV7V,Jefferson,Quilcene,WA,98376,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,24,291380477,"{'type': 'Point', 'coordinates': [-122.8775, 47.82642]}",BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950202
